date,state,sex,ethnicity,age,population
1/1/2020,Johor,male,bumi_malay,15-19,102.3
1/1/2020,Johor,male,bumi_malay,20-24,100.6
1/1/2020,Johor,male,bumi_malay,25-29,88.9
1/1/2020,Johor,male,bumi_malay,30-34,90.7
1/1/2020,Johor,male,bumi_malay,35-39,84.2
1/1/2020,Johor,male,bumi_malay,40-44,66.1
1/1/2020,Johor,male,bumi_malay,45-49,58.2
1/1/2020,Johor,male,bumi_malay,50-54,53.2
1/1/2020,Johor,male,bumi_malay,55-59,49.6
1/1/2020,Johor,male,bumi_malay,60-64,39.6
1/1/2020,Johor,male,bumi_malay,65-69,24.7
1/1/2020,Johor,male,bumi_malay,70-74,16.8
1/1/2020,Johor,male,bumi_malay,75-79,9
1/1/2020,Johor,male,bumi_malay,80-84,5.2
1/1/2020,Johor,male,bumi_malay,85+,5.3
1/1/2020,Johor,female,bumi_malay,15-19,96.8
1/1/2020,Johor,female,bumi_malay,20-24,93.2
1/1/2020,Johor,female,bumi_malay,25-29,84.9
1/1/2020,Johor,female,bumi_malay,30-34,85.5
1/1/2020,Johor,female,bumi_malay,35-39,83.2
1/1/2020,Johor,female,bumi_malay,40-44,62.6
1/1/2020,Johor,female,bumi_malay,45-49,58.1
1/1/2020,Johor,female,bumi_malay,50-54,54.6
1/1/2020,Johor,female,bumi_malay,55-59,48.8
1/1/2020,Johor,female,bumi_malay,60-64,40.9
1/1/2020,Johor,female,bumi_malay,65-69,25.4
1/1/2020,Johor,female,bumi_malay,70-74,17.5
1/1/2020,Johor,female,bumi_malay,75-79,10.1
1/1/2020,Johor,female,bumi_malay,80-84,6.4
1/1/2020,Johor,female,bumi_malay,85+,5.1
1/1/2020,Kedah,male,bumi_malay,15-19,78.7
1/1/2020,Kedah,male,bumi_malay,20-24,87
1/1/2020,Kedah,male,bumi_malay,25-29,73.9
1/1/2020,Kedah,male,bumi_malay,30-34,56.5
1/1/2020,Kedah,male,bumi_malay,35-39,48
1/1/2020,Kedah,male,bumi_malay,40-44,44.4
1/1/2020,Kedah,male,bumi_malay,45-49,42.3
1/1/2020,Kedah,male,bumi_malay,50-54,39.9
1/1/2020,Kedah,male,bumi_malay,55-59,37.7
1/1/2020,Kedah,male,bumi_malay,60-64,31.1
1/1/2020,Kedah,male,bumi_malay,65-69,24.8
1/1/2020,Kedah,male,bumi_malay,70-74,16.8
1/1/2020,Kedah,male,bumi_malay,75-79,8.5
1/1/2020,Kedah,male,bumi_malay,80-84,5.6
1/1/2020,Kedah,male,bumi_malay,85+,4
1/1/2020,Kedah,female,bumi_malay,15-19,72.5
1/1/2020,Kedah,female,bumi_malay,20-24,81.5
1/1/2020,Kedah,female,bumi_malay,25-29,70.7
1/1/2020,Kedah,female,bumi_malay,30-34,56.5
1/1/2020,Kedah,female,bumi_malay,35-39,52.5
1/1/2020,Kedah,female,bumi_malay,40-44,44.1
1/1/2020,Kedah,female,bumi_malay,45-49,45
1/1/2020,Kedah,female,bumi_malay,50-54,43.4
1/1/2020,Kedah,female,bumi_malay,55-59,39.6
1/1/2020,Kedah,female,bumi_malay,60-64,34.7
1/1/2020,Kedah,female,bumi_malay,65-69,26.9
1/1/2020,Kedah,female,bumi_malay,70-74,18.3
1/1/2020,Kedah,female,bumi_malay,75-79,11.3
1/1/2020,Kedah,female,bumi_malay,80-84,7.7
1/1/2020,Kedah,female,bumi_malay,85+,4.8
1/1/2020,Kelantan,male,bumi_malay,15-19,100.1
1/1/2020,Kelantan,male,bumi_malay,20-24,78.2
1/1/2020,Kelantan,male,bumi_malay,25-29,60
1/1/2020,Kelantan,male,bumi_malay,30-34,53.9
1/1/2020,Kelantan,male,bumi_malay,35-39,49.6
1/1/2020,Kelantan,male,bumi_malay,40-44,40.1
1/1/2020,Kelantan,male,bumi_malay,45-49,38.2
1/1/2020,Kelantan,male,bumi_malay,50-54,35.9
1/1/2020,Kelantan,male,bumi_malay,55-59,37.2
1/1/2020,Kelantan,male,bumi_malay,60-64,28.9
1/1/2020,Kelantan,male,bumi_malay,65-69,20.5
1/1/2020,Kelantan,male,bumi_malay,70-74,14.7
1/1/2020,Kelantan,male,bumi_malay,75-79,7.6
1/1/2020,Kelantan,male,bumi_malay,80-84,3.5
1/1/2020,Kelantan,male,bumi_malay,85+,1.9
1/1/2020,Kelantan,female,bumi_malay,15-19,98.4
1/1/2020,Kelantan,female,bumi_malay,20-24,82
1/1/2020,Kelantan,female,bumi_malay,25-29,58.4
1/1/2020,Kelantan,female,bumi_malay,30-34,52.5
1/1/2020,Kelantan,female,bumi_malay,35-39,48.1
1/1/2020,Kelantan,female,bumi_malay,40-44,39.8
1/1/2020,Kelantan,female,bumi_malay,45-49,41.3
1/1/2020,Kelantan,female,bumi_malay,50-54,39.7
1/1/2020,Kelantan,female,bumi_malay,55-59,39.9
1/1/2020,Kelantan,female,bumi_malay,60-64,32.3
